manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Penco,PENCO-6135V,Locker,10 51 13,"Penco Vanguard. Locker. 1""W x 24""D x 60""H. 1-tier. Cat.No 6135V",1,24,60,,,,USD,EA
Penco,PENCO-6136V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 12""D x 36.5""H. 1-tier. Cat.No 6136V",18,12,36.5,,,,USD,EA
Penco,PENCO-6137V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 30.5""H. 1-tier. Cat.No 6137V",12,12,30.5,,,,USD,EA
Penco,PENCO-6138V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 15""D x 36.5""H. 1-tier. Cat.No 6138V",12,15,36.5,,,,USD,EA
Penco,PENCO-6139V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 30.5""H. 1-tier. Cat.No 6139V",15,15,30.5,,,,USD,EA
Penco,PENCO-6140V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 18""D x 36.5""H. 1-tier. Cat.No 6140V",15,18,36.5,,,,USD,EA
Penco,PENCO-6141V,Locker,10 51 13,Penco Vanguard. Double Door. 1-tier. Cat.No 6141V,,,,,,,USD,EA
Penco,PENCO-6142V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 21""D x 36.5""H. 1-tier. Cat.No 6142V",18,21,36.5,,,,USD,EA
Penco,PENCO-6143V,Locker,10 51 13,"Penco Vanguard. Double Door. 24""W x 21""D x 60""H. 1-tier. Cat.No 6143V",24,21,60,,,,USD,EA
Penco,PENCO-6145V,Locker,10 51 13,"Penco Vanguard. Double Door. 24""W x 24""D x 60""H. 1-tier. Cat.No 6145V",24,24,60,,,,USD,EA
Penco,PENCO-6146V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 36.5""H. 1-tier. Cat.No 6146V",12,12,36.5,,,,USD,EA
Penco,PENCO-6147V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 18""D x 30.5""H. 1-tier. Cat.No 6147V",12,18,30.5,,,,USD,EA
Penco,PENCO-6148V,Locker,10 51 13,"Penco Vanguard. Locker. 21""W x 21""D x 30.5""H. 1-tier. Cat.No 6148V",21,21,30.5,,,,USD,EA
Penco,PENCO-6149V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 18""D x 60""H. 1-tier. Cat.No 6149V",12,18,60,,,,USD,EA
Penco,PENCO-6150V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 24""D x 30.5""H. 1-tier. Cat.No 6150V",24,24,30.5,,,,USD,EA
Penco,PENCO-6151V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 12""D x 72""H. 1-tier. Cat.No 6151V",15,12,72,,,,USD,EA
Penco,PENCO-6152V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 30.5""H. 1-tier. Cat.No 6152V",12,12,30.5,,,,USD,EA
Penco,PENCO-6153V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 15""D x 72""H. 1-tier. Cat.No 6153V",18,15,72,,,,USD,EA
Penco,PENCO-6154V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 30.5""H. 1-tier. Cat.No 6154V",15,15,30.5,,,,USD,EA
Penco,PENCO-6155V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 18""D x 72""H. 1-tier. Cat.No 6155V",9,18,72,,,,USD,EA
Penco,PENCO-6156V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 18""D x 30.5""H. 1-tier. Cat.No 6156V",15,18,30.5,,,,USD,EA
Penco,PENCO-6157V,Locker,10 51 13,"Penco Vanguard. Locker. 12""D x 13-5/8""H. 1-tier. Cat.No 6157V",,12,13-5/8,,,,USD,EA
Penco,PENCO-6158V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 21""D x 60""H. 1-tier. Cat.No 6158V",15,21,60,,,,USD,EA
Penco,PENCO-6159V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 15""D x 13-5/8""H. 1-tier. Cat.No 6159V",12,15,13-5/8,,,,USD,EA
